gene,cds_len,utr_len,cds_fw,cds_te,cds_skew,cds_kurt,utr_fw,utr_te,utr_skew,utr_kurt,gradient_fw,gradient_te,n_cds_windows,n_utr_windows
A1BG,1650,1728,0.0,0.0,1.0936,1.186,0.0,0.0,1.1598,0.9699,0.0,0.0,61,65
A1CF,1839,339,0.029412,6.412e-05,0.8567,-0.1003,0.0,0.0,0.3648,-1.2907,-0.029412,-6.412e-05,69,9
A2M,4563,179,0.00565,1.355e-05,0.869,0.4326,,,,,,,178,0
A2ML1,4365,762,0.017751,0.00033569,1.2351,2.0569,0.0,0.0,0.8717,-0.0361,-0.017751,-0.00033569,170,26
A3GALT2,1023,0,0.0,0.0,0.641,0.0677,,,,,,,36,0
A4GALT,1062,1259,0.054054,0.00085375,1.6008,2.3925,0.022222,0.00034854,1.1859,0.6435,-0.031832,-0.00050521,38,46
A4GNT,1023,756,0.0,0.0,0.3533,-0.1408,0.0,0.0,0.8182,-0.6617,0.0,0.0,36,26
AAAS,1683,202,0.0,0.0,0.5915,-0.6195,,,,,,,63,0
AACS,2019,1237,0.0,0.0,0.8246,0.4202,0.022727,2.27e-06,0.5961,0.0792,0.022727,2.27e-06,76,45
AADAC,1347,635,0.0,0.0,0.9136,0.1779,0.0,0.0,0.7672,-0.2652,0.0,0.0,49,21
AADACL2,1206,281,0.023256,0.00011731,1.1463,1.4929,0.0,0.0,-0.3019,-1.4395,-0.023256,-0.00011731,44,7
AADACL3,1224,2831,0.023256,7.632e-05,0.5231,-0.5822,0.018519,0.00023483,0.9784,0.7295,-0.004737,0.00015851,44,109
AADACL4,1224,803,0.0,0.0,1.0988,0.395,0.0,0.0,0.2903,-0.87,0.0,0.0,44,28
AADAT,1290,823,0.043478,0.00027073,0.7681,-0.2138,0.037037,0.00102196,1.7397,4.0899,-0.006441,0.00075123,47,28
AAGAB,996,1829,0.0,0.0,0.7045,-0.6657,0.014706,3.824e-05,0.9472,0.097,0.014706,3.824e-05,35,69
AAK1,3492,7827,0.022388,0.00049842,1.1319,1.6966,0.016287,0.00014189,0.8614,0.1688,-0.006101,-0.00035653,135,308
AAMDC,507,99,0.0,0.0,1.2628,0.905,,,,,,,16,0
AAMP,1308,496,0.0,0.0,0.719,-0.2115,0.0,0.0,0.0644,-1.4868,0.0,0.0,48,15
AANAT,759,1154,0.04,0.00038136,1.086,0.5663,0.0,0.0,-0.0556,-0.7141,-0.04,-0.00038136,26,42
AAR2,1338,1264,0.020833,5.158e-05,0.8713,1.5251,0.044444,0.00050542,1.2593,1.8064,0.023611,0.00045384,49,46
AARD,468,1823,0.0,0.0,0.3809,-0.7435,0.014925,0.000399,1.234,1.5665,0.014925,0.000399,14,68
AARS1,3000,572,0.017544,0.00029832,1.0382,1.0541,0.0,0.0,1.189,1.2247,-0.017544,-0.00029832,115,18
AARS2,2958,1840,0.026549,0.0001229,0.8963,0.6844,0.014706,2.724e-05,0.6413,-0.2452,-0.011843,-9.566e-05,114,69
AARSD1,1266,83,0.022222,0.00077145,1.1647,1.7309,,,,,,,46,0
AASDH,3414,612,0.015267,0.00017034,0.9574,0.827,0.157895,0.00310163,1.2036,0.8671,0.142628,0.00293129,132,20
AASDHPPT,939,1736,0.0,0.0,0.8348,0.232,0.015625,6.052e-05,0.7175,-0.1407,0.015625,6.052e-05,33,65
AASS,2781,1738,0.037736,0.00054444,1.2557,1.3059,0.03125,0.00158044,1.3288,2.2117,-0.006486,0.001036,107,65
AATF,1689,367,0.048387,0.00102323,1.5479,2.6492,0.0,0.0,-0.6495,-0.6384,-0.048387,-0.00102323,63,10
AATK,4125,1336,0.018868,0.00017185,1.2279,1.1288,0.020833,5.201e-05,0.758,-0.5466,0.001965,-0.00011984,160,49
ABAT,1548,411,0.0,0.0,0.9368,0.7695,0.0,0.0,-0.1486,-1.3384,0.0,0.0,57,12
ABCA1,6792,3621,0.007519,0.00015102,1.0674,0.9574,0.035971,0.00059482,0.947,0.6314,0.028452,0.0004438,267,140
ABCA10,4632,1376,0.011111,0.00022986,1.0962,1.345,0.0,0.0,0.4739,-0.7262,-0.011111,-0.00022986,181,50
ABCA12,7788,1510,0.022876,0.00021572,1.0624,0.6894,0.018182,0.0001537,0.9329,0.6446,-0.004694,-6.202e-05,307,56
ABCA13,15177,2011,0.009983,5.23e-05,0.8959,0.5385,0.026667,0.0003469,1.2406,1.5317,0.016684,0.0002946,602,76
ABCA2,7401,701,0.013793,0.00026383,0.9793,0.78,0.045455,0.0005893,0.6149,0.0936,0.031662,0.00032547,291,23
ABCA3,5115,1487,0.01005,0.00024041,1.0825,1.0516,0.0,0.0,0.4618,-0.6355,-0.01005,-0.00024041,200,55
ABCA4,6822,506,0.014981,0.00043562,1.3855,3.2955,0.0,0.0,0.7551,-0.5197,-0.014981,-0.00043562,268,16
ABCA5,4929,3323,0.015625,0.00023386,1.3285,2.2535,0.031496,0.00020686,0.7133,-0.3181,0.015871,-2.7e-05,193,128
ABCA6,4995,1934,0.010309,7.159e-05,0.9985,0.6019,0.013889,0.00049241,0.9845,0.5275,0.00358,0.00042082,195,73
ABCA7,6441,374,0.007937,9.738e-05,0.9923,0.727,0.0,0.0,0.4412,-1.115,-0.007937,-9.738e-05,253,10
ABCA8,4878,952,0.015789,0.00059508,1.7821,4.2945,0.0625,0.00107233,1.5544,3.0478,0.046711,0.00047725,191,33
ABCA9,4875,1502,0.031746,0.00074909,1.6025,3.1615,0.0,0.0,1.1377,0.2818,-0.031746,-0.00074909,190,55
ABCB1,3843,1362,0.02027,0.00023116,1.1831,1.3582,0.040816,0.00110471,2.0349,4.2459,0.020546,0.00087355,149,50
ABCB10,2268,1652,0.011765,0.00024568,1.2458,1.3106,0.016667,0.00015318,0.9523,0.0497,0.004902,-9.25e-05,86,61
ABCB11,4008,1869,0.006452,2.289e-05,0.9358,0.6513,0.0,0.0,0.4864,-0.7959,-0.006452,-2.289e-05,156,70
ABCB4,3861,159,0.0,0.0,0.8576,0.2822,,,,,,,150,0
ABCB5,3774,1576,0.027586,0.0005813,1.1343,0.9476,0.035088,0.00052104,1.1604,1.2188,0.007502,-6.026e-05,146,58
